trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_pullback_depth,signal_ema_spread,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
1,2024-01-02,short,1,2024-01-02 14:50:00-05:00,2069.7000000000003,2071.03,2067.7050000000004,2024-01-02 15:35:00-05:00,2067.8050000000003,target,50000.0,,,16.799999999998363,16.799999999998363,16.799999999998363,20697.000000000004,0.4139400000000001,1.8949999999999818,18.949999999999818,18.949999999999818,2.5,16.449999999999818,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-02 14:45:00-05:00,9,45.0,18.949999999999818,14.0,1.2999999999999925,1.0,-0.9793800206662127,2.0000000000004547,-0.599999999999909,20.000000000004547,-5.9999999999990905,1.1904761904765773,-0.35714285714283783
2,2024-01-03,short,1,2024-01-03 11:30:00-05:00,2042.4,2043.9445833333334,2040.083125,2024-01-03 11:50:00-05:00,2040.183125,target,50000.0,,,18.945833333332303,18.945833333332303,18.945833333332303,20424.0,0.40848,2.2168750000000728,22.168750000000728,22.168750000000728,2.5,19.668750000000728,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-03 11:25:00-05:00,4,20.0,22.168750000000728,11.0,2.44583333333334,2.2000000000000455,-6.817871674645403,2.800000000000182,-0.2999999999999545,28.00000000000182,-2.9999999999995453,1.4778975148451292,-0.15834616230480097
3,2024-01-03,short,1,2024-01-03 12:25:00-05:00,2040.0,2042.0604166666667,2036.909375,2024-01-03 13:05:00-05:00,2042.1604166666666,stop,50000.0,,,24.10416666666606,24.10416666666606,24.10416666666606,20400.0,0.408,-2.160416666666606,-21.60416666666606,-21.60416666666606,2.5,-24.10416666666606,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-03 12:20:00-05:00,8,40.0,-21.60416666666606,12.0,2.6041666666666807,2.2999999999999545,-4.604835451921872,1.599999999999909,-3.099999999999909,15.99999999999909,-30.99999999999909,0.6637856525496765,-1.2860847018150334
4,2024-01-04,long,1,2024-01-04 11:30:00-05:00,2052.7,2051.195416666667,2054.956874999999,2024-01-04 12:05:00-05:00,2051.095416666667,stop,50000.0,,,18.54583333332812,18.54583333332812,18.54583333332812,20527.0,0.41054,-1.604583333332812,-16.04583333332812,-16.04583333332812,2.5,-18.54583333332812,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-04 11:25:00-05:00,7,35.0,-16.04583333332812,11.0,2.045833333333339,1.5,1.855778528803512,1.400000000000091,-2.299999999999727,14.00000000000091,-22.99999999999727,0.754886542350295,-1.2401707481466855
5,2024-01-04,long,1,2024-01-04 15:15:00-05:00,2052.2,2051.400833333333,2053.39875,2024-01-04 15:25:00-05:00,2051.3008333333332,stop,50000.0,,,11.491666666665878,11.491666666665878,11.491666666665878,20522.0,0.41044,-0.8991666666665878,-8.991666666665878,-8.991666666665878,2.5,-11.491666666665878,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-04 15:10:00-05:00,2,10.0,-8.991666666665878,15.0,0.9916666666667217,0.8000000000001819,0.504101273741071,0.0,-1.099999999999909,0.0,-10.99999999999909,0.0,-0.9572153734590148
6,2024-01-05,short,1,2024-01-05 13:05:00-05:00,2047.9,2050.7804166666665,2043.5793750000005,2024-01-05 13:35:00-05:00,2050.8804166666664,stop,50000.0,,,32.30416666666315,32.30416666666315,32.30416666666315,20479.0,0.40958,-2.980416666666315,-29.80416666666315,-29.80416666666315,2.5,-32.30416666666315,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-05 13:00:00-05:00,6,30.0,-29.80416666666315,13.0,2.8041666666666742,2.599999999999909,-3.343642246806212,0.10000000000013642,-3.900000000000091,1.0000000000013642,-39.00000000000091,0.030955759061054244,-1.2072746033794965
7,2024-01-08,short,1,2024-01-08 13:45:00-05:00,2033.4,2034.97125,2031.0431250000001,2024-01-08 14:35:00-05:00,2035.07125,stop,50000.0,,,19.212499999998727,19.212499999998727,19.212499999998727,20334.0,0.40668,-1.6712499999998727,-16.712499999998727,-16.712499999998727,2.5,-19.212499999998727,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-08 13:40:00-05:00,10,50.0,-16.712499999998727,13.0,1.712500000000001,1.8999999999998636,-2.1018929539050077,0.8000000000001819,-2.0,8.000000000001819,-20.0,0.41639557579712944,-1.0409889394925869
8,2024-01-10,short,1,2024-01-10 11:35:00-05:00,2030.4,2032.7514583333332,2026.8728125000005,2024-01-10 11:55:00-05:00,2032.851458333333,stop,50000.0,,,27.014583333329938,27.014583333329938,27.014583333329938,20304.0,0.40608,-2.451458333332994,-24.514583333329938,-24.514583333329938,2.5,-27.014583333329938,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-10 11:30:00-05:00,4,20.0,-24.514583333329938,11.0,1.514583333333358,1.699999999999818,-0.9997716271743684,0.20000000000004547,-2.3999999999998636,2.0000000000004547,-23.999999999998636,0.07403408652736476,-0.8884090383281247
9,2024-01-15,long,1,2024-01-15 12:15:00-05:00,2058.7,2057.80375,2060.0443749999995,2024-01-15 12:30:00-05:00,2059.9443749999996,target,50000.0,,,12.462499999996908,12.462499999996908,12.462499999996908,20587.0,0.41174,1.2443749999997635,12.443749999997635,12.443749999997635,2.5,9.943749999997635,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-15 12:10:00-05:00,3,15.0,12.443749999997635,12.0,0.9625000000000247,1.0,1.4996534322031039,1.400000000000091,-0.1999999999998181,14.00000000000091,-1.999999999998181,1.1233701103313447,-0.16048144433289285
10,2024-01-16,short,1,2024-01-16 12:30:00-05:00,2029.6000000000001,2032.3220833333332,2025.5168750000005,2024-01-16 12:40:00-05:00,2032.4220833333331,stop,50000.0,,,30.72083333333012,30.72083333333012,30.72083333333012,20296.0,0.40592,-2.822083333333012,-28.22083333333012,-28.22083333333012,2.5,-30.72083333333012,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-16 12:25:00-05:00,2,10.0,-28.22083333333012,12.0,2.220833333333308,2.599999999999909,-5.952178616827041,0.6000000000001364,-2.8999999999998636,6.000000000001364,-28.999999999998636,0.19530720195313686,-0.9439848094399025
11,2024-01-17,short,1,2024-01-17 11:50:00-05:00,2008.0,2013.68625,1999.470625,2024-01-17 12:50:00-05:00,2010.6,time_stop,50000.0,,,60.36249999999882,60.36249999999882,60.36249999999882,20080.0,0.4016,-2.599999999999909,-25.99999999999909,-25.99999999999909,2.5,-28.49999999999909,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-17 11:45:00-05:00,12,60.0,-25.99999999999909,11.0,1.8624999999999925,2.2000000000000455,-4.770399385117798,2.099999999999909,-2.900000000000091,20.99999999999909,-29.00000000000091,0.34789811555186584,-0.48043073100023154
12,2024-01-17,short,1,2024-01-17 13:35:00-05:00,2004.9,2007.2949999999998,2001.3075000000003,2024-01-17 14:00:00-05:00,2007.3949999999998,stop,50000.0,,,27.449999999996635,27.449999999996635,27.449999999996635,20049.0,0.40098,-2.4949999999996635,-24.949999999996635,-24.949999999996635,2.5,-27.449999999996635,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-17 13:30:00-05:00,5,25.0,-24.949999999996635,13.0,1.9500000000000075,1.8999999999998636,-3.0922474815979513,0.20000000000004547,-3.199999999999818,2.0000000000004547,-31.99999999999818,0.07285974499091803,-1.1657559198543572
13,2024-01-18,long,1,2024-01-18 13:25:00-05:00,2020.0,2017.6499999999999,2023.525,2024-01-18 14:00:00-05:00,2023.4250000000002,target,50000.0,,,27.000000000000455,27.000000000000455,27.000000000000455,20200.0,0.404,3.425000000000182,34.25000000000182,34.25000000000182,2.5,31.75000000000182,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-18 13:20:00-05:00,7,35.0,34.25000000000182,13.0,1.4999999999999762,1.2999999999999545,1.3605371553394434,3.599999999999909,-0.09999999999990905,35.99999999999909,-0.9999999999990905,1.333333333333277,-0.03703703703700273
14,2024-01-18,long,1,2024-01-18 14:25:00-05:00,2022.3999999999999,2020.7702083333334,2024.8446874999995,2024-01-18 15:25:00-05:00,2023.3000000000002,time_stop,50000.0,,,19.79791666666415,19.79791666666415,19.79791666666415,20224.0,0.40448,0.9000000000003183,9.000000000003183,9.000000000003183,2.5,6.500000000003183,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-18 14:20:00-05:00,12,60.0,9.000000000003183,14.0,1.2979166666666468,1.2999999999999545,1.9930010000523453,1.0000000000002274,-0.7999999999999545,10.000000000002274,-7.999999999999545,0.5051036514786595,-0.40408292118281275
15,2024-01-19,long,1,2024-01-19 13:35:00-05:00,2030.1,2028.5064583333333,2032.4903124999998,2024-01-19 14:35:00-05:00,2031.1000000000001,time_stop,50000.0,,,19.435416666665333,19.435416666665333,19.435416666665333,20301.0,0.40602,1.0000000000002274,10.000000000002274,10.000000000002274,2.5,7.500000000002274,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-19 13:30:00-05:00,12,60.0,10.000000000002274,13.0,1.9354166666666828,2.2000000000000455,0.9172109401765738,1.400000000000091,-1.199999999999818,14.00000000000091,-11.999999999998181,0.7203344409905561,-0.6174295208489143
16,2024-01-22,short,1,2024-01-22 12:10:00-05:00,2023.8000000000002,2025.7545833333331,2020.8681250000009,2024-01-22 12:15:00-05:00,2025.854583333333,stop,50000.0,,,23.045833333328574,23.045833333328574,23.045833333328574,20238.0,0.40476,-2.0545833333328574,-20.545833333328574,-20.545833333328574,2.5,-23.045833333328574,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-01-22 12:05:00-05:00,1,5.0,-20.545833333328574,12.0,1.5458333333333296,1.199999999999818,-0.9834559133287257,2.2737367544323206e-13,-2.4999999999997726,2.2737367544323206e-12,-24.999999999997726,9.86615116730916e-14,-1.0847947929851192
