trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_pullback_depth,signal_ema_spread,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
1,2024-01-02,short,1,2024-01-02 13:50:00-05:00,16724.25,16744.128645833334,16694.43203125,2024-01-02 14:00:00-05:00,16694.68203125,target,50000.0,,,42.75729166666861,42.75729166666861,42.75729166666861,33448.5,0.66897,29.567968750001455,118.27187500000582,59.13593750000291,2.5,56.63593750000291,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-02 13:45:00-05:00,2,10.0,59.13593750000291,13.0,18.786458333333332,18.5,-9.847729999510193,36.25,-0.25,72.5,-0.5,1.6956172192851326,-0.011693911857138846
2,2024-01-04,short,1,2024-01-04 12:45:00-05:00,16501.0,16527.849479166667,16460.72578125,2024-01-04 13:40:00-05:00,16528.099479166667,stop,50000.0,,,56.6989583333343,56.6989583333343,56.6989583333343,33002.0,0.66004,-27.09947916666715,-108.3979166666686,-54.1989583333343,2.5,-56.6989583333343,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-04 12:40:00-05:00,11,55.0,-54.1989583333343,12.0,23.494791666666668,24.25,-9.42918455087056,20.5,-28.0,41.0,-56.0,0.723117341220983,-0.987672466057928
3,2024-01-08,long,1,2024-01-08 10:35:00-05:00,16654.5,16620.984375,16704.7734375,2024-01-08 11:35:00-05:00,16659.25,time_stop,50000.0,,,70.03125,70.03125,70.03125,33309.0,0.66618,4.75,19.0,9.5,2.5,7.0,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-08 10:30:00-05:00,12,60.0,9.5,10.0,20.15625,21.25,55.169346517661324,19.0,-14.0,38.0,-28.0,0.5426149040606872,-0.3998215082552432
4,2024-01-08,long,1,2024-01-08 13:25:00-05:00,16720.75,16704.0296875,16745.830468750002,2024-01-08 14:15:00-05:00,16745.580468750002,target,50000.0,,,36.44062500000291,36.44062500000291,36.44062500000291,33441.5,0.66883,24.830468750002183,99.32187500000873,49.660937500004366,2.5,47.160937500004366,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-08 13:20:00-05:00,10,50.0,49.660937500004366,13.0,17.203125,14.25,17.73109692489379,31.75,-10.25,63.5,-20.5,1.7425606723264195,-0.5625589572077417
5,2024-01-24,short,1,2024-01-24 14:15:00-05:00,17678.25,17722.794270833332,17611.43359375,2024-01-24 15:15:00-05:00,17644.5,time_stop,50000.0,,,92.08854166666424,92.08854166666424,92.08854166666424,35356.5,0.70713,33.75,135.0,67.5,2.5,65.0,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-24 14:10:00-05:00,12,60.0,67.5,14.0,20.442708333333332,24.25,-17.552193175528373,46.25,-12.75,92.5,-25.5,1.0044680730728164,-0.27690741473899266
6,2024-01-26,short,1,2024-01-26 13:20:00-05:00,17521.25,17544.183854166666,17486.84921875,2024-01-26 13:30:00-05:00,17544.433854166666,stop,50000.0,,,48.86770833333139,48.86770833333139,48.86770833333139,35042.5,0.70085,-23.183854166665697,-92.73541666666279,-46.36770833333139,2.5,-48.86770833333139,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-26 13:15:00-05:00,2,10.0,-46.36770833333139,13.0,24.338541666666668,28.25,-23.655742159062356,2.25,-28.0,4.5,-56.0,0.09208534947669456,-1.1459510157099766
7,2024-01-30,short,1,2024-01-30 13:05:00-05:00,17558.0,17589.7890625,17510.31640625,2024-01-30 13:30:00-05:00,17590.0390625,stop,50000.0,,,66.578125,66.578125,66.578125,35116.0,0.70232,-32.0390625,-128.15625,-64.078125,2.5,-66.578125,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-01-30 13:00:00-05:00,5,25.0,-64.078125,13.0,17.890625,20.25,-23.746398985746055,4.0,-40.0,8.0,-80.0,0.12015958695141986,-1.2015958695141986
8,2024-02-02,long,1,2024-02-02 12:20:00-05:00,17722.25,17689.413020833334,17771.50546875,2024-02-02 12:45:00-05:00,17689.163020833334,stop,50000.0,,,68.67395833333285,68.67395833333285,68.67395833333285,35444.5,0.70889,-33.086979166666424,-132.3479166666657,-66.17395833333285,2.5,-68.67395833333285,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-02-02 12:15:00-05:00,5,25.0,-66.17395833333285,12.0,25.869791666666668,25.75,35.03007573766081,34.25,-49.75,68.5,-99.5,0.9974668952022763,-1.4488752711332333
9,2024-02-09,long,1,2024-02-09 13:30:00-05:00,18036.75,18018.398958333335,18064.276562499996,2024-02-09 14:30:00-05:00,18050.75,time_stop,50000.0,,,39.70208333332994,39.70208333332994,39.70208333332994,36073.5,0.72147,14.0,56.0,28.0,2.5,25.5,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-02-09 13:25:00-05:00,12,60.0,28.0,13.0,16.010416666666668,14.75,14.928169702739979,14.75,-9.75,29.5,-19.5,0.7430340557276177,-0.49115810463351
10,2024-02-13,short,1,2024-02-13 13:35:00-05:00,17676.5,17700.304166666665,17640.793750000004,2024-02-13 14:05:00-05:00,17641.043750000004,target,50000.0,,,50.60833333332994,50.60833333332994,50.60833333332994,35353.0,0.70706,35.456249999995634,141.82499999998254,70.91249999999127,2.5,68.41249999999127,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2024-02-13 13:30:00-05:00,6,30.0,70.91249999999127,13.0,25.541666666666668,30.0,-15.960433827654924,51.0,-7.5,102.0,-15.0,2.0154783467809683,-0.296393874526613
