variant_name,session_date,timestamp,from_state,to_state,trigger,current_day_pnl_usd,current_day_pnl_r,peak_day_pnl_usd,peak_day_pnl_r
combo_loss_0p75__profit_1p0,2019-05-07,2019-05-07 13:19:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,125.26,1.0374358124896472,126.76,1.049859201590194
combo_loss_0p75__profit_1p0,2019-05-09,2019-05-09 12:25:00-04:00,neutral,halted,overlay_hard_loss_cap,-103.74,-0.7699272673296719,35.26,0.2616891791598634
combo_loss_0p75__profit_1p0,2019-05-20,2019-05-20 14:48:00-04:00,neutral,halted,overlay_hard_loss_cap,-88.74,-0.7601507623779339,37.76,0.32345382902175773
combo_loss_0p75__profit_1p0,2019-06-03,2019-06-03 15:11:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,187.26,1.021938441388343,189.76,1.035581750709452
combo_loss_0p75__profit_1p0,2019-08-02,2019-08-02 10:40:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,106.26,1.049585144211774,112.26,1.108850256815488
combo_loss_0p75__profit_1p0,2019-08-06,2019-08-06 10:13:00-04:00,neutral,halted,overlay_hard_loss_cap,-80.24,-0.8699045967042498,7.76,0.08412836079791848
combo_loss_0p75__profit_1p0,2019-08-07,2019-08-07 13:50:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,167.26,1.0536726722943177,167.26,1.0536726722943177
combo_loss_0p75__profit_1p0,2019-08-14,2019-08-14 11:45:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,104.76,1.0098322729901679,105.76,1.0194717563138618
combo_loss_0p75__profit_1p0,2019-10-03,2019-10-03 11:02:00-04:00,neutral,halted,overlay_hard_loss_cap,-128.24,-0.8423541776142932,71.26,0.4680767209668944
combo_loss_0p75__profit_1p0,2019-10-04,2019-10-04 15:48:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,85.76,1.0120368185036583,89.76,1.059240028321926
combo_loss_0p75__profit_1p0,2019-12-12,2019-12-12 12:23:00-05:00,neutral,halted,overlay_hard_loss_cap,-143.24,-0.7650074770348216,45.76,0.24439222388378548
combo_loss_0p75__profit_1p0,2020-01-31,2020-01-31 13:32:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,179.26,1.0317716127546908,182.76,1.0519166570737883
combo_loss_0p75__profit_1p0,2020-02-25,2020-02-25 11:08:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,210.26,1.0219694760377174,224.26,1.0900165257120638
combo_loss_0p75__profit_1p0,2020-02-26,2020-02-26 12:06:00-05:00,neutral,halted,overlay_hard_loss_cap,-220.24,-0.7987234351200406,40.76,0.14782041053166026
combo_loss_0p75__profit_1p0,2020-02-27,2020-02-27 11:07:00-05:00,neutral,halted,overlay_hard_loss_cap,-214.74,-0.8703088271054551,159.26,0.6454567560995379
combo_loss_0p75__profit_1p0,2020-03-04,2020-03-04 15:50:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,245.76,1.0315648085963733,249.76,1.048354600402955
combo_loss_0p75__profit_1p0,2020-03-05,2020-03-05 12:39:00-05:00,neutral,halted,overlay_hard_loss_cap,-126.74,-0.7578330542932312,167.76,1.0031093039942596
combo_loss_0p75__profit_1p0,2020-03-06,2020-03-06 12:29:00-05:00,neutral,halted,overlay_hard_loss_cap,-177.74,-0.7620476762133425,130.26,0.5584805350711712
combo_loss_0p75__profit_1p0,2020-03-10,2020-03-10 10:42:00-04:00,neutral,halted,overlay_hard_loss_cap,-191.74,-0.8364159832489967,4.26,0.018583144302913975
combo_loss_0p75__profit_1p0,2020-03-11,2020-03-11 13:04:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,199.26,1.0076868615353494,203.76,1.0304440173965812
combo_loss_0p75__profit_1p0,2020-03-24,2020-03-24 11:07:00-04:00,neutral,halted,overlay_hard_loss_cap,-179.24,-0.7717878057182226,38.76,0.16689631415776782
combo_loss_0p75__profit_1p0,2020-03-27,2020-03-27 15:50:00-04:00,neutral,halted,overlay_hard_loss_cap,-245.24,-0.9665011429021834,191.76,0.7557342161267439
combo_loss_0p75__profit_1p0,2020-03-30,2020-03-30 11:20:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,189.26,1.061826750448833,197.26,1.106710053859964
combo_loss_0p75__profit_1p0,2020-03-31,2020-03-31 10:19:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,171.26,1.0588598986026956,175.76,1.0866823296648942
combo_loss_0p75__profit_1p0,2020-04-01,2020-04-01 12:04:00-04:00,neutral,halted,overlay_hard_loss_cap,-125.24,-0.8226484498160798,96.26,0.632291119285339
combo_loss_0p75__profit_1p0,2020-04-03,2020-04-03 13:30:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,205.76,1.0431961062664772,214.76,1.0888257959845873
combo_loss_0p75__profit_1p0,2020-04-06,2020-04-06 15:10:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,228.26,1.0294038062595832,229.76,1.0361684856137818
combo_loss_0p75__profit_1p0,2020-04-08,2020-04-08 10:58:00-04:00,neutral,halted,overlay_hard_loss_cap,-165.74,-0.8016832736770824,14.26,0.06897552481377575
combo_loss_0p75__profit_1p0,2020-04-13,2020-04-13 12:03:00-04:00,neutral,halted,overlay_hard_loss_cap,-141.24,-0.832096147048427,36.76,0.21656651349122186
combo_loss_0p75__profit_1p0,2020-04-16,2020-04-16 10:41:00-04:00,neutral,halted,overlay_hard_loss_cap,-123.74,-0.7674274373604564,49.76,0.3086082857851649
combo_loss_0p75__profit_1p0,2020-04-20,2020-04-20 14:57:00-04:00,neutral,halted,overlay_hard_loss_cap,-95.24,-0.7574359790042946,108.26,0.8609829807539368
combo_loss_0p75__profit_1p0,2020-04-21,2020-04-21 11:00:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,266.76,1.0172361195851127,294.26,1.1221018913971934
combo_loss_0p75__profit_1p0,2020-04-22,2020-04-22 14:34:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,132.76,1.0077425231516621,139.76,1.0608774859571883
combo_loss_0p75__profit_1p0,2020-04-27,2020-04-27 10:45:00-04:00,neutral,halted,overlay_hard_loss_cap,-80.74,-0.7935915077648908,14.26,0.1401611952034598
combo_loss_0p75__profit_1p0,2020-04-28,2020-04-28 10:54:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,185.26,1.0423089906605152,191.76,1.0788792618431415
combo_loss_0p75__profit_1p0,2020-04-29,2020-04-29 15:22:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,184.26,1.0083178286089525,185.76,1.0165262121046295
combo_loss_0p75__profit_1p0,2020-05-01,2020-05-01 11:19:00-04:00,neutral,halted,overlay_hard_loss_cap,-113.74,-0.8472884386174016,63.76,0.4749702026221692
combo_loss_0p75__profit_1p0,2020-05-04,2020-05-04 15:33:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,155.26,1.0098868219071158,157.76,1.0261480421490827
combo_loss_0p75__profit_1p0,2020-05-06,2020-05-06 10:43:00-04:00,neutral,halted,overlay_hard_loss_cap,-105.24,-0.7988462122362228,57.26,0.4346439957492029
combo_loss_0p75__profit_1p0,2020-05-07,2020-05-07 11:44:00-04:00,neutral,halted,overlay_hard_loss_cap,-110.74,-0.8405951115834218,23.26,0.1765598906937908
combo_loss_0p75__profit_1p0,2020-05-13,2020-05-13 11:26:00-04:00,neutral,halted,overlay_hard_loss_cap,-172.74,-0.8081781603817723,107.26,0.5018246467671003
combo_loss_0p75__profit_1p0,2020-05-14,2020-05-14 11:07:00-04:00,neutral,halted,overlay_hard_loss_cap,-193.24,-0.7706787907792934,9.76,0.03892478264337561
combo_loss_0p75__profit_1p0,2020-05-15,2020-05-15 11:00:00-04:00,neutral,halted,overlay_hard_loss_cap,-157.24,-0.8397778252510147,41.26,0.2203588976714377
combo_loss_0p75__profit_1p0,2020-05-19,2020-05-19 15:50:00-04:00,neutral,halted,overlay_hard_loss_cap,-122.74,-0.8480033162912808,62.76,0.43360508497996403
combo_loss_0p75__profit_1p0,2020-05-21,2020-05-21 11:18:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,149.26,1.0348031059345535,153.26,1.062534664448142
combo_loss_0p75__profit_1p0,2020-05-27,2020-05-27 14:00:00-04:00,neutral,halted,overlay_hard_loss_cap,-179.74,-0.7722780785425797,192.26,0.8260720116868608
combo_loss_0p75__profit_1p0,2020-05-28,2020-05-28 12:51:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,168.26,1.0060990193733554,168.76,1.0090887347524515
combo_loss_0p75__profit_1p0,2020-05-29,2020-05-29 14:08:00-04:00,neutral,halted,overlay_hard_loss_cap,-111.74,-0.7614828949161782,75.76,0.5162873108900096
combo_loss_0p75__profit_1p0,2020-06-03,2020-06-03 12:08:00-04:00,neutral,halted,overlay_hard_loss_cap,-87.74,-0.8297711367505202,1.26,0.01191602042746359
combo_loss_0p75__profit_1p0,2020-06-08,2020-06-08 11:16:00-04:00,neutral,halted,overlay_hard_loss_cap,-98.74,-0.7790752722108253,38.76,0.30582294461101467
combo_loss_0p75__profit_1p0,2020-06-09,2020-06-09 12:39:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,126.26,1.0203652820429934,132.76,1.0728947793761112
combo_loss_0p75__profit_1p0,2020-06-10,2020-06-10 10:22:00-04:00,neutral,halted,overlay_hard_loss_cap,-76.74,-0.7973815461346633,14.26,0.14817123857024106
combo_loss_0p75__profit_1p0,2020-06-11,2020-06-11 10:59:00-04:00,neutral,halted,overlay_hard_loss_cap,-155.24,-0.7971654513710589,15.26,0.07836089144500359
combo_loss_0p75__profit_1p0,2020-06-12,2020-06-12 11:03:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,237.26,1.0463967539913557,242.76,1.0706536120666843
combo_loss_0p75__profit_1p0,2020-06-15,2020-06-15 14:00:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,255.26,1.0603140317354822,270.76,1.124698845227216
combo_loss_0p75__profit_1p0,2020-06-16,2020-06-16 10:59:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,169.26,1.0337119824111396,186.26,1.1375351166483447
combo_loss_0p75__profit_1p0,2020-06-17,2020-06-17 10:55:00-04:00,neutral,halted,overlay_hard_loss_cap,-98.24,-0.7812947351678066,36.76,0.2923492921902338
combo_loss_0p75__profit_1p0,2020-06-18,2020-06-18 10:23:00-04:00,neutral,halted,overlay_hard_loss_cap,-80.74,-0.8135832325675131,3.76,0.03788794840790004
combo_loss_0p75__profit_1p0,2020-06-22,2020-06-22 12:04:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,110.26,1.12235342019544,116.76,1.1885179153094463
combo_loss_0p75__profit_1p0,2020-06-24,2020-06-24 11:44:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,284.26,1.042238028891985,296.26,1.0862359756544695
combo_loss_0p75__profit_1p0,2020-06-26,2020-06-26 10:33:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,203.26,1.062852959631876,209.76,1.096841664923656
combo_loss_0p75__profit_1p0,2020-07-01,2020-07-01 14:30:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,147.76,1.020864999309106,153.76,1.0623186403205747
combo_loss_0p75__profit_1p0,2020-07-02,2020-07-02 13:36:00-04:00,neutral,halted,overlay_hard_loss_cap,-120.74,-0.7582265762371263,23.26,0.14606882692790757
combo_loss_0p75__profit_1p0,2020-07-06,2020-07-06 11:13:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,126.76,1.0041191381495564,132.76,1.0516476552598226
combo_loss_0p75__profit_1p0,2020-07-07,2020-07-07 14:31:00-04:00,neutral,halted,overlay_hard_loss_cap,-123.74,-0.7650550265858785,114.76,0.7095338197106467
combo_loss_0p75__profit_1p0,2020-07-08,2020-07-08 11:07:00-04:00,neutral,halted,overlay_hard_loss_cap,-117.74,-0.8248563822334313,6.26,0.04385596188874877
combo_loss_0p75__profit_1p0,2020-07-09,2020-07-09 10:56:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,123.76,1.0165927386232956,136.26,1.1192705766387383
combo_loss_0p75__profit_1p0,2020-07-10,2020-07-10 10:42:00-04:00,neutral,halted,overlay_hard_loss_cap,-164.24,-0.7577742917781674,31.76,0.14653501891667436
combo_loss_0p75__profit_1p0,2020-07-13,2020-07-13 13:59:00-04:00,neutral,halted,overlay_hard_loss_cap,-108.74,-0.764482564679415,116.26,0.8173509561304837
