session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-05-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50000.0, ""peak_equity"": 50000.0}","{""equity"": 50000.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50000.0, ""traded"": false}"
2019-05-07,345.0,360.0,15.0,1.0,0.0,50345.0,50345.0,0.0,0.0,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50000.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50000.0, ""traded"": false}","{""equity"": 50345.0, ""last_daily_pnl"": 345.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-05-08,0.0,0.0,0.0,0.0,0.0,50345.0,50345.0,0.0,0.0,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50345.0, ""last_daily_pnl"": 345.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50345.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-09,-680.0,-667.5,12.5,1.0,1.0,49665.0,50345.0,-680.0,0.013506803058893634,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50345.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49665.0, ""last_daily_pnl"": -680.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-05-10,0.0,0.0,0.0,0.0,0.0,49665.0,50345.0,-680.0,0.013506803058893634,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49665.0, ""last_daily_pnl"": -680.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 49665.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-13,345.0,357.5,12.5,1.0,0.0,50010.0,50345.0,-335.0,0.006654086801072599,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 49665.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50010.0, ""last_daily_pnl"": 345.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-05-14,0.0,0.0,0.0,0.0,0.0,50010.0,50345.0,-335.0,0.006654086801072599,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50010.0, ""last_daily_pnl"": 345.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-15,0.0,0.0,0.0,0.0,0.0,50010.0,50345.0,-335.0,0.006654086801072599,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-16,0.0,0.0,0.0,0.0,0.0,50010.0,50345.0,-335.0,0.006654086801072599,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-17,0.0,0.0,0.0,0.0,0.0,50010.0,50345.0,-335.0,0.006654086801072599,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-05-20,-333.0,-318.0,15.0,1.0,1.0,49677.0,50345.0,-668.0,0.01326844771079551,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50010.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49677.0, ""last_daily_pnl"": -333.0, ""peak_equity"": 50345.0, ""traded"": true}"
