method,weight_variant_name,variant_name,scope,calibration_scope,nominal_orb_weight,nominal_pullback_weight,effective_orb_weight,effective_pullback_weight,orb_scale,pullback_scale,start_date,end_date,n_days,net_profit_usd,return_pct,cagr_pct,sharpe,sortino,profit_factor_daily,max_drawdown_usd,max_drawdown_pct,max_daily_drawdown_usd,calmar,days_traded,orb_pullback_daily_corr,return_over_drawdown,positive_month_rate,stability_score,composite_score
risk_scaled,orb20_pull80,risk_scaled__orb20_pull80,is,is,0.2,0.8,0.2,0.8,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,17475.174358746022,34.95034871749205,6.4405760839092885,1.996922272391387,3.4512011508962672,2.264607590157999,936.5293572771188,1.4343037573236628,136.80471039981785,4.490385004587225,404,-0.035972007879149115,18.659505143067417,0.6896551724137931,0.7731123983407134,2.557716536764827
risk_scaled,orb25_pull75,risk_scaled__orb25_pull75,is,is,0.25,0.75,0.25,0.75,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,16750.46936758903,33.50093873517806,6.201498075480361,2.0118722970023284,3.1671913893210624,2.151783558889109,810.9829493791331,1.2546899285001412,128.16352613027266,4.942653905649537,404,-0.035972007879149115,20.654527176450188,0.6724137931034483,0.773472400126717,2.556099143896315
inverse_risk,orb25_pull75,inverse_risk__orb25_pull75,is,is,0.25,0.75,0.3746120319150872,0.6253879680849127,1.0,1.0,2019-05-06,2024-02-22,1222,18131.750382673024,36.263500765346045,6.655429539797453,2.011872297002328,3.167191389321063,2.1514575886325717,884.6921422269806,1.34403991130575,137.388142737007,4.951809454327608,404,-0.035972007879149115,20.4949829632612,0.6724137931034483,0.7690049009864366,2.5459214299085495
static,orb33_pull67,static__orb33_pull67,is,is,0.33,0.67,0.33,0.67,1.0,1.0,2019-05-06,2024-02-22,1222,19198.379848666693,38.39675969733339,7.000996884016963,2.00257442898201,3.3694779433146946,2.2287498127699923,1009.9896902807814,1.5127325653462975,147.29374898484093,4.628046651732048,404,-0.035972007879149115,19.00849091175323,0.6896551724137931,0.7691909579395817,2.5443480395362834
inverse_risk,orb20_pull80,inverse_risk__orb20_pull80,is,is,0.2,0.8,0.3099905735989191,0.690009426401081,1.0,1.0,2019-05-06,2024-02-22,1222,19681.49604424434,39.36299208848868,7.156130930967852,1.9969222723913866,3.4512011508962677,2.264233212963999,1067.6910023980308,1.5889933008114032,151.7411564912254,4.503562681676283,404,-0.035972007879149115,18.433700387134255,0.6896551724137931,0.7653779211663264,2.540560421638521
static,orb40_pull60,static__orb40_pull60,is,is,0.4,0.6,0.4,0.6,1.0,1.0,2019-05-06,2024-02-22,1222,17531.17504532526,35.062350090650526,6.458965779649417,2.014546509883213,3.035271810121446,2.1082436885343236,862.1177784415195,1.319444532203462,131.75726274295448,4.895215844248485,404,-0.035972007879149115,20.335011623373525,0.6724137931034483,0.770234669941551,2.53755480828065
static,orb25_pull75,static__orb25_pull75,is,is,0.25,0.75,0.25,0.75,1.0,1.0,2019-05-06,2024-02-22,1222,21147.600890051326,42.29520178010265,7.621757602063872,1.9762080019096073,3.671930642597848,2.3719444724524594,1244.738172878875,1.8174685455245143,165.09183161023248,4.193611834896577,404,-0.035972007879149115,16.989597773112717,0.6551724137931034,0.736712779620326,2.5189796491933327
risk_scaled,orb33_pull67,risk_scaled__orb33_pull67,is,is,0.33,0.67,0.33,0.67,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,15602.157898317382,31.204315796634763,5.818430951303344,2.008007186684699,2.664324541032733,1.9903514590630715,784.83497281171,1.230888004854891,134.77315511845518,4.727018971956979,404,-0.035972007879149115,19.879539570493247,0.6724137931034483,0.7746624963089797,2.502770176596953
inverse_risk,orb33_pull67,inverse_risk__orb33_pull67,is,is,0.33,0.67,0.4695243075174516,0.5304756924825484,1.0,1.0,2019-05-06,2024-02-22,1222,15910.09698383657,31.820193967673145,5.921674544650468,2.0080071866846994,2.664324541032734,1.9902548314562483,801.7985164789279,1.2522303830854953,137.75915742838697,4.728901825604537,404,-0.035972007879149115,19.84301125138675,0.6724137931034483,0.7735953773974493,2.500141940467404
static,orb20_pull80,static__orb20_pull80,is,is,0.2,0.8,0.2,0.8,1.0,1.0,2019-05-06,2024-02-22,1222,22390.01137880546,44.780022757610915,8.010430261940392,1.9561812252675694,3.7908790971091757,2.4633213944253805,1397.022938200491,2.0077070493391025,176.23842613698798,3.989840183395913,404,-0.035972007879149115,16.026946134217447,0.6551724137931034,0.7272008544295966,2.4999436168861466
