overall_rank,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,run_count,pass_rate,first_attempt_pass_rate,avg_days_to_pass,avg_resets,avg_payouts,at_least_one_payout_rate,avg_profit_post_pass,avg_profit_post_pass_all_cycles,avg_subscription_cost_usd,avg_reset_cost_usd,avg_activation_fee_usd,total_cost,net_profit,expected_net_profit_per_cycle,expected_days_per_cycle,expected_net_profit_per_day,plan_rank
1,no_activation_fee,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,10,1.0,0.7,27.6,0.8,6.0,1.0,4860.5,4860.5,100.27999999999999,87.2,0.0,187.48,5812.52,5812.52,69.3,83.87474747474748,1
2,standard,nominal,nominal,1.0,nominal,nominal,1.0,10,1.0,0.4,33.5,0.8,5.4,0.7,4341.05,4341.05,54.71666666666666,39.2,149.0,242.91666666666666,5157.083333333334,5157.083333333334,70.1,73.56752258678081,1
3,no_activation_fee,nominal,nominal,1.0,nominal,nominal,1.0,10,1.0,0.5,26.0,0.6,4.2,0.8,2678.1,2678.1,94.46666666666667,65.4,0.0,159.86666666666665,4040.1333333333328,4040.1333333333328,57.4,70.3855981416957,2
4,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.3,20.8,2.0,4.6,1.0,4044.0,4044.0,33.973333333333336,98.0,149.0,280.9733333333333,4319.026666666667,4319.026666666667,69.8,61.877172874880614,2
5,standard,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.2,17.9,2.8,4.1,0.9,2891.280000000007,2891.280000000007,29.23666666666667,137.2,149.0,315.4366666666666,3784.563333333334,3784.563333333334,64.5,58.675400516795875,3
6,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.6,34.3,1.2,5.2,1.0,4483.6,4483.6,124.62333333333333,130.8,0.0,255.42333333333332,4944.576666666667,4944.576666666667,84.3,58.654527481217876,3
7,no_activation_fee,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.4,30.8,0.9,4.2,0.9,2795.579999999998,2795.579999999998,111.90666666666667,98.1,0.0,210.00666666666666,3989.9933333333333,3989.9933333333333,71.0,56.19708920187794,4
8,standard,nominal_x1.8,nominal,1.8,nominal,nominal,1.0,10,1.0,0.0,28.6,5.2,3.5,0.8,1746.3,1746.3,46.71333333333333,254.8,149.0,450.5133333333333,3049.4866666666667,3049.4866666666667,56.4,54.06891252955083,4
9,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,10,1.0,0.2,22.1,2.3,3.7,0.8,2667.6000000000035,2667.6000000000035,36.09666666666667,112.7,149.0,297.7966666666667,3402.2033333333334,3402.2033333333334,63.4,53.662513144058885,5
10,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,10,1.0,0.3,27.6,3.9,4.8,1.0,3953.9,3953.9,100.28,425.1,0.0,525.38,4274.62,4274.62,80.9,52.83831891223733,5
11,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,10,1.0,0.2,49.5,1.7,5.0,0.8,3894.2,3894.2,80.85,83.3,149.0,313.15,4686.85,4686.85,89.7,52.25027870680045,6
