session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,daily_stop_breached,trading_halted,equity,peak_equity,drawdown_usd,green_day,weekday
2019-05-06,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Monday
2019-05-07,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Tuesday
2019-05-08,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Wednesday
2019-05-09,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Thursday
2019-05-10,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Friday
2019-05-13,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Monday
2019-05-14,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Tuesday
2019-05-15,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Wednesday
2019-05-16,0.0,0.0,0.0,0.0,0.0,False,False,50000.0,50000.0,0.0,False,Thursday
2019-05-17,53.70000000000073,56.20000000000073,2.5,1.0,0.0,False,False,50053.7,50053.7,0.0,True,Friday
2019-05-20,-38.25,-35.75,2.5,1.0,1.0,False,False,50015.45,50053.7,-38.25,False,Monday
2019-05-21,-12.5,-7.5,5.0,2.0,1.0,False,False,50002.95,50053.7,-50.75,False,Tuesday
2019-05-22,0.0,0.0,0.0,0.0,0.0,False,False,50002.95,50053.7,-50.75,False,Wednesday
2019-05-23,51.0,53.5,2.5,1.0,0.0,False,False,50053.95,50053.95,0.0,True,Thursday
2019-05-24,0.0,0.0,0.0,0.0,0.0,False,False,50053.95,50053.95,0.0,False,Friday
2019-05-27,0.0,0.0,0.0,0.0,0.0,False,False,50053.95,50053.95,0.0,False,Monday
2019-05-28,0.0,0.0,0.0,0.0,0.0,False,False,50053.95,50053.95,0.0,False,Tuesday
2019-05-29,-40.0,-35.0,5.0,2.0,2.0,False,False,50013.95,50053.95,-40.0,False,Wednesday
2019-05-30,11.5,14.0,2.5,1.0,0.0,False,False,50025.45,50053.95,-28.5,True,Thursday
2019-05-31,0.0,0.0,0.0,0.0,0.0,False,False,50025.45,50053.95,-28.5,False,Friday
2019-06-03,0.0,0.0,0.0,0.0,0.0,False,False,50025.45,50053.95,-28.5,False,Monday
2019-06-04,-36.375,-33.875,2.5,1.0,1.0,False,False,49989.075,50053.95,-64.875,False,Tuesday
2019-06-05,0.0,0.0,0.0,0.0,0.0,False,False,49989.075,50053.95,-64.875,False,Wednesday
2019-06-06,-23.25,-20.75,2.5,1.0,1.0,False,False,49965.825,50053.95,-88.125,False,Thursday
2019-06-07,-24.375,-21.875,2.5,1.0,1.0,False,False,49941.45,50053.95,-112.5,False,Friday
2019-06-10,43.57500000000073,46.07500000000073,2.5,1.0,0.0,False,False,49985.025,50053.95,-68.92499999999563,True,Monday
2019-06-11,0.0,0.0,0.0,0.0,0.0,False,False,49985.025,50053.95,-68.92499999999563,False,Tuesday
2019-06-12,0.0,0.0,0.0,0.0,0.0,False,False,49985.025,50053.95,-68.92499999999563,False,Wednesday
2019-06-13,24.674999999999272,27.174999999999272,2.5,1.0,0.0,False,False,50009.7,50053.95,-44.25,True,Thursday
2019-06-14,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Friday
2019-06-17,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Monday
2019-06-18,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Tuesday
2019-06-19,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Wednesday
2019-06-20,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Thursday
2019-06-24,0.0,0.0,0.0,0.0,0.0,False,False,50009.7,50053.95,-44.25,False,Monday
2019-06-25,39.524999999999636,42.024999999999636,2.5,1.0,0.0,False,False,50049.225,50053.95,-4.724999999998545,True,Tuesday
2019-06-26,-30.625,-25.625,5.0,2.0,1.0,False,False,50018.6,50053.95,-35.349999999998545,False,Wednesday
2019-06-27,0.0,0.0,0.0,0.0,0.0,False,False,50018.6,50053.95,-35.349999999998545,False,Thursday
2019-06-28,0.0,0.0,0.0,0.0,0.0,False,False,50018.6,50053.95,-35.349999999998545,False,Friday
2019-07-01,0.0,0.0,0.0,0.0,0.0,False,False,50018.6,50053.95,-35.349999999998545,False,Monday
2019-07-02,25.5,28.0,2.5,1.0,0.0,False,False,50044.1,50053.95,-9.849999999998545,True,Tuesday
2019-07-03,0.0,0.0,0.0,0.0,0.0,False,False,50044.1,50053.95,-9.849999999998545,False,Wednesday
2019-07-04,-2.5,0.0,2.5,1.0,1.0,False,False,50041.6,50053.95,-12.349999999998545,False,Thursday
2019-07-05,0.0,0.0,0.0,0.0,0.0,False,False,50041.6,50053.95,-12.349999999998545,False,Friday
2019-07-08,0.0,0.0,0.0,0.0,0.0,False,False,50041.6,50053.95,-12.349999999998545,False,Monday
2019-07-09,-14.25,-11.75,2.5,1.0,1.0,False,False,50027.35,50053.95,-26.599999999998545,False,Tuesday
2019-07-10,0.0,0.0,0.0,0.0,0.0,False,False,50027.35,50053.95,-26.599999999998545,False,Wednesday
2019-07-11,0.0,0.0,0.0,0.0,0.0,False,False,50027.35,50053.95,-26.599999999998545,False,Thursday
2019-07-12,0.0,0.0,0.0,0.0,0.0,False,False,50027.35,50053.95,-26.599999999998545,False,Friday
2019-07-15,0.0,0.0,0.0,0.0,0.0,False,False,50027.35,50053.95,-26.599999999998545,False,Monday
2019-07-16,0.0,0.0,0.0,0.0,0.0,False,False,50027.35,50053.95,-26.599999999998545,False,Tuesday
2019-07-17,-19.5,-17.0,2.5,1.0,1.0,False,False,50007.85,50053.95,-46.099999999998545,False,Wednesday
2019-07-18,0.0,0.0,0.0,0.0,0.0,False,False,50007.85,50053.95,-46.099999999998545,False,Thursday
2019-07-19,46.95000000000073,49.45000000000073,2.5,1.0,0.0,False,False,50054.8,50054.8,0.0,True,Friday
2019-07-22,0.0,0.0,0.0,0.0,0.0,False,False,50054.8,50054.8,0.0,False,Monday
2019-07-23,9.0,11.5,2.5,1.0,0.0,False,False,50063.8,50063.8,0.0,True,Tuesday
2019-07-24,0.0,0.0,0.0,0.0,0.0,False,False,50063.8,50063.8,0.0,False,Wednesday
2019-07-25,-13.5,-11.0,2.5,1.0,1.0,False,False,50050.3,50063.8,-13.5,False,Thursday
2019-07-26,0.0,0.0,0.0,0.0,0.0,False,False,50050.3,50063.8,-13.5,False,Friday
2019-07-29,1.0,3.5,2.5,1.0,0.0,False,False,50051.3,50063.8,-12.5,True,Monday
2019-07-30,0.0,0.0,0.0,0.0,0.0,False,False,50051.3,50063.8,-12.5,False,Tuesday
2019-07-31,-20.25,-17.75,2.5,1.0,1.0,False,False,50031.05,50063.8,-32.75,False,Wednesday
2019-08-01,-26.17708333333394,-23.67708333333394,2.5,1.0,1.0,False,False,50004.87291666667,50063.8,-58.92708333333576,False,Thursday
2019-08-02,-2.5,0.0,2.5,1.0,1.0,False,False,50002.37291666667,50063.8,-61.42708333333576,False,Friday
2019-08-05,0.0,0.0,0.0,0.0,0.0,False,False,50002.37291666667,50063.8,-61.42708333333576,False,Monday
2019-08-06,0.0,0.0,0.0,0.0,0.0,False,False,50002.37291666667,50063.8,-61.42708333333576,False,Tuesday
2019-08-07,0.0,0.0,0.0,0.0,0.0,False,False,50002.37291666667,50063.8,-61.42708333333576,False,Wednesday
2019-08-08,0.0,0.0,0.0,0.0,0.0,False,False,50002.37291666667,50063.8,-61.42708333333576,False,Thursday
2019-08-09,39.0,41.5,2.5,1.0,0.0,False,False,50041.37291666667,50063.8,-22.42708333333576,True,Friday
2019-08-12,43.0,45.5,2.5,1.0,0.0,False,False,50084.37291666667,50084.37291666667,0.0,True,Monday
2019-08-13,0.0,0.0,0.0,0.0,0.0,False,False,50084.37291666667,50084.37291666667,0.0,False,Tuesday
2019-08-14,0.0,0.0,0.0,0.0,0.0,False,False,50084.37291666667,50084.37291666667,0.0,False,Wednesday
2019-08-15,0.0,0.0,0.0,0.0,0.0,False,False,50084.37291666667,50084.37291666667,0.0,False,Thursday
2019-08-16,-25.125,-22.625,2.5,1.0,1.0,False,False,50059.24791666667,50084.37291666667,-25.125,False,Friday
2019-08-19,0.0,0.0,0.0,0.0,0.0,False,False,50059.24791666667,50084.37291666667,-25.125,False,Monday
2019-08-20,38.850000000000364,41.350000000000364,2.5,1.0,0.0,False,False,50098.097916666666,50098.097916666666,0.0,True,Tuesday
2019-08-21,0.0,0.0,0.0,0.0,0.0,False,False,50098.097916666666,50098.097916666666,0.0,False,Wednesday
2019-08-22,-25.0,-22.5,2.5,1.0,1.0,False,False,50073.097916666666,50098.097916666666,-25.0,False,Thursday
2019-08-23,0.0,0.0,0.0,0.0,0.0,False,False,50073.097916666666,50098.097916666666,-25.0,False,Friday
2019-08-26,-73.75,-68.75,5.0,2.0,2.0,False,False,49999.347916666666,50098.097916666666,-98.75,False,Monday
2019-08-27,-43.125,-40.625,2.5,1.0,1.0,False,False,49956.222916666666,50098.097916666666,-141.875,False,Tuesday
2019-08-28,-58.5,-53.5,5.0,2.0,2.0,False,False,49897.722916666666,50098.097916666666,-200.375,False,Wednesday
2019-08-29,0.0,0.0,0.0,0.0,0.0,False,False,49897.722916666666,50098.097916666666,-200.375,False,Thursday
2019-08-30,0.0,0.0,0.0,0.0,0.0,False,False,49897.722916666666,50098.097916666666,-200.375,False,Friday
2019-09-02,0.0,0.0,0.0,0.0,0.0,False,False,49897.722916666666,50098.097916666666,-200.375,False,Monday
2019-09-03,36.82500000000073,39.32500000000073,2.5,1.0,0.0,False,False,49934.54791666667,50098.097916666666,-163.54999999999563,True,Tuesday
2019-09-04,-10.5,-8.0,2.5,1.0,1.0,False,False,49924.04791666667,50098.097916666666,-174.04999999999563,False,Wednesday
2019-09-05,-19.875,-17.375,2.5,1.0,1.0,False,False,49904.17291666667,50098.097916666666,-193.92499999999563,False,Thursday
2019-09-06,-24.375,-21.875,2.5,1.0,1.0,False,False,49879.79791666667,50098.097916666666,-218.29999999999563,False,Friday
2019-09-09,0.0,0.0,0.0,0.0,0.0,False,False,49879.79791666667,50098.097916666666,-218.29999999999563,False,Monday
2019-09-10,0.0,0.0,0.0,0.0,0.0,False,False,49879.79791666667,50098.097916666666,-218.29999999999563,False,Tuesday
2019-09-11,26.0,31.0,5.0,2.0,0.0,False,False,49905.79791666667,50098.097916666666,-192.29999999999563,True,Wednesday
2019-09-12,0.0,0.0,0.0,0.0,0.0,False,False,49905.79791666667,50098.097916666666,-192.29999999999563,False,Thursday
2019-09-13,-23.625,-21.125,2.5,1.0,1.0,False,False,49882.17291666667,50098.097916666666,-215.92499999999563,False,Friday
2019-09-16,0.0,0.0,0.0,0.0,0.0,False,False,49882.17291666667,50098.097916666666,-215.92499999999563,False,Monday
2019-09-17,0.0,0.0,0.0,0.0,0.0,False,False,49882.17291666667,50098.097916666666,-215.92499999999563,False,Tuesday
