session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,daily_stop_breached,trading_halted,equity,peak_equity,drawdown_usd,green_day,weekday
2019-05-06,70.0,82.5,12.5,5,3,False,True,50070.0,50070.0,0.0,True,Monday
2019-05-07,43.0,55.5,12.5,5,3,False,True,50113.0,50113.0,0.0,True,Tuesday
2019-05-08,-24.5,-17.0,7.5,3,3,False,True,50088.5,50113.0,-24.5,False,Wednesday
2019-05-09,36.0,48.5,12.5,5,3,False,True,50124.5,50124.5,0.0,True,Thursday
2019-05-10,-41.0,-33.5,7.5,3,3,False,True,50083.5,50124.5,-41.0,False,Friday
2019-05-13,-30.5,-23.0,7.5,3,3,False,True,50053.0,50124.5,-71.5,False,Monday
2019-05-14,-21.0,-11.0,10.0,4,3,False,True,50032.0,50124.5,-92.5,False,Tuesday
2019-05-15,-59.5,-52.0,7.5,3,3,False,True,49972.5,50124.5,-152.0,False,Wednesday
2019-05-16,100.5,110.5,10.0,4,3,False,True,50073.0,50124.5,-51.5,True,Thursday
2019-05-17,-39.5,-29.5,10.0,4,3,False,True,50033.5,50124.5,-91.0,False,Friday
2019-05-20,-36.0,-26.0,10.0,4,3,False,True,49997.5,50124.5,-127.0,False,Monday
2019-05-21,-45.0,-37.5,7.5,3,3,False,True,49952.5,50124.5,-172.0,False,Tuesday
2019-05-22,-26.5,-16.5,10.0,4,3,False,True,49926.0,50124.5,-198.5,False,Wednesday
2019-05-23,-55.5,-48.0,7.5,3,3,False,True,49870.5,50124.5,-254.0,False,Thursday
2019-05-24,-27.5,-20.0,7.5,3,3,False,True,49843.0,50124.5,-281.5,False,Friday
2019-05-27,-14.0,-6.5,7.5,3,3,False,True,49829.0,50124.5,-295.5,False,Monday
2019-05-28,-3.0,7.0,10.0,4,3,False,True,49826.0,50124.5,-298.5,False,Tuesday
2019-05-29,-31.0,-23.5,7.5,3,3,False,True,49795.0,50124.5,-329.5,False,Wednesday
2019-05-30,-28.5,-18.5,10.0,4,3,False,True,49766.5,50124.5,-358.0,False,Thursday
2019-05-31,-19.5,-9.5,10.0,4,3,False,True,49747.0,50124.5,-377.5,False,Friday
2019-06-03,-32.5,-25.0,7.5,3,3,False,True,49714.5,50124.5,-410.0,False,Monday
2019-06-04,-66.5,-59.0,7.5,3,3,False,True,49648.0,50124.5,-476.5,False,Tuesday
2019-06-05,-29.5,-22.0,7.5,3,3,False,True,49618.5,50124.5,-506.0,False,Wednesday
2019-06-06,-27.5,-20.0,7.5,3,3,False,True,49591.0,50124.5,-533.5,False,Thursday
2019-06-07,-21.0,-13.5,7.5,3,3,False,True,49570.0,50124.5,-554.5,False,Friday
2019-06-10,3.0,13.0,10.0,4,3,False,True,49573.0,50124.5,-551.5,True,Monday
2019-06-11,10.0,20.0,10.0,4,3,False,True,49583.0,50124.5,-541.5,True,Tuesday
2019-06-12,-20.0,-10.0,10.0,4,3,False,True,49563.0,50124.5,-561.5,False,Wednesday
2019-06-13,-29.0,-19.0,10.0,4,3,False,True,49534.0,50124.5,-590.5,False,Thursday
2019-06-14,-9.5,0.5,10.0,4,3,False,True,49524.5,50124.5,-600.0,False,Friday
2019-06-17,12.5,22.5,10.0,4,3,False,True,49537.0,50124.5,-587.5,True,Monday
2019-06-18,-41.0,-33.5,7.5,3,3,False,True,49496.0,50124.5,-628.5,False,Tuesday
2019-06-19,17.5,30.0,12.5,5,3,False,True,49513.5,50124.5,-611.0,True,Wednesday
2019-06-20,1.0,11.0,10.0,4,3,False,True,49514.5,50124.5,-610.0,True,Thursday
2019-06-24,-32.5,-25.0,7.5,3,3,False,True,49482.0,50124.5,-642.5,False,Monday
2019-06-25,-37.0,-27.0,10.0,4,3,False,True,49445.0,50124.5,-679.5,False,Tuesday
2019-06-26,-36.0,-26.0,10.0,4,3,False,True,49409.0,50124.5,-715.5,False,Wednesday
2019-06-27,-20.5,-10.5,10.0,4,3,False,True,49388.5,50124.5,-736.0,False,Thursday
2019-06-28,21.5,31.5,10.0,4,3,False,True,49410.0,50124.5,-714.5,True,Friday
2019-07-01,-55.0,-47.5,7.5,3,3,False,True,49355.0,50124.5,-769.5,False,Monday
2019-07-02,-36.0,-26.0,10.0,4,3,False,True,49319.0,50124.5,-805.5,False,Tuesday
2019-07-03,-42.0,-34.5,7.5,3,3,False,True,49277.0,50124.5,-847.5,False,Wednesday
2019-07-04,-12.5,-5.0,7.5,3,3,False,True,49264.5,50124.5,-860.0,False,Thursday
2019-07-05,-35.5,-28.0,7.5,3,3,False,True,49229.0,50124.5,-895.5,False,Friday
2019-07-08,6.5,16.5,10.0,4,3,False,True,49235.5,50124.5,-889.0,True,Monday
2019-07-09,154.5,157.0,2.5,1,0,False,False,49390.0,50124.5,-734.5,True,Tuesday
2019-07-10,42.5,55.0,12.5,5,3,False,True,49432.5,50124.5,-692.0,True,Wednesday
2019-07-11,-38.0,-30.5,7.5,3,3,False,True,49394.5,50124.5,-730.0,False,Thursday
2019-07-12,-23.5,-13.5,10.0,4,3,False,True,49371.0,50124.5,-753.5,False,Friday
2019-07-15,-49.0,-39.0,10.0,4,3,False,True,49322.0,50124.5,-802.5,False,Monday
2019-07-16,-14.5,-7.0,7.5,3,3,False,True,49307.5,50124.5,-817.0,False,Tuesday
2019-07-17,-28.0,-20.5,7.5,3,3,False,True,49279.5,50124.5,-845.0,False,Wednesday
2019-07-18,-14.0,-4.0,10.0,4,3,False,True,49265.5,50124.5,-859.0,False,Thursday
2019-07-19,192.5,205.0,12.5,5,2,False,False,49458.0,50124.5,-666.5,True,Friday
2019-07-22,-32.5,-25.0,7.5,3,3,False,True,49425.5,50124.5,-699.0,False,Monday
2019-07-23,8.5,18.5,10.0,4,3,False,True,49434.0,50124.5,-690.5,True,Tuesday
2019-07-24,141.0,146.0,5.0,2,1,False,False,49575.0,50124.5,-549.5,True,Wednesday
2019-07-25,6.0,16.0,10.0,4,3,False,True,49581.0,50124.5,-543.5,True,Thursday
2019-07-26,-22.0,-12.0,10.0,4,3,False,True,49559.0,50124.5,-565.5,False,Friday
