session_date,baseline_daily_pnl_usd,baseline_daily_return,baseline_risk_multiplier,baseline_bucket_label,variant_daily_pnl_usd,variant_daily_return,variant_risk_multiplier,variant_bucket_label,variant_name,daily_pnl_diff,daily_return_diff,abs_daily_pnl_diff
2019-05-06,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-07,57.5,0.00115,0.25,high,57.5,0.00115,0.25,high,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-08,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-09,-136.0,-0.00272,0.25,high,-136.0,-0.00272,0.25,high,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-10,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-13,69.0,0.00138,0.25,high,69.0,0.00138,0.25,high,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-14,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-16,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-17,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-20,-166.5,-0.00333,0.5,low,-166.5,-0.00333,0.5,low,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-21,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-22,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-23,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
2019-05-24,0.0,0.0,0.0,no_trade,0.0,0.0,0.0,no_trade,median_fast15_slow_60_70_80,0.0,0.0,0.0
