config_name,policy_family,ranking_group,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,net_pnl,Sharpe,Sortino,max_drawdown,max_daily_drawdown,profit_factor,number_of_trades,win_rate,avg_trade,worst_day,daily_loss_limit_breaches,prop_pass,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,baseline_pnl,filtered_pnl,pnl_removed_by_invalidation,trades_removed,Sharpe_delta,DD_delta,profit_factor_delta,robust_score,live_score,rank_main_by_sharpe,rank_main_by_live_score,rank_reclaim_by_sharpe
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,main_invalidation,n_closes_1m,0,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,725,0.6473214285714286,0,0.0,14973.079999999993,17644.099999999995,-2782.1200000000035,183,0.3636748877052784,1801.4199999999646,0.0531964352737805,2.13092313287212,1.2133143913074678,1.0,1.0,
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,invalidate_for_day,main_invalidation,n_closes_1m,1,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,724,0.6464285714285715,0,0.0,14973.079999999993,17644.099999999995,-2782.1200000000035,183,0.3636748877052784,1801.4199999999646,0.0531964352737805,2.13092313287212,1.2133143913074678,1.0,1.0,
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,invalidate_for_day,main_invalidation,n_closes_1m,2,2,False,30191.75999999998,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,1.190573144197831,602,0.526578073089701,50.15242524916941,-749.22,0,False,724,0.6464285714285715,0,0.0,14973.079999999993,17644.099999999995,-2782.1200000000035,183,0.3636748877052784,1801.4199999999646,0.0531964352737805,2.13092313287212,1.2133143913074678,1.0,1.0,
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,invalidate_for_day,main_invalidation,n_closes_1m,2,3,False,30356.61999999998,0.8672842597735096,2.1140785263482704,-6832.060000000001,-6832.060000000001,1.1872018835741038,616,0.5275974025974026,49.28022727272724,-749.22,0,False,706,0.6303571428571428,0,0.0,14973.079999999993,19252.59999999999,-2946.980000000003,169,0.4661803520669954,1813.0599999999577,0.0498251746500537,2.2750434665301587,1.209861294703512,2.0,2.0,
invalidate_on_opposite_close_1m__buffer_1,invalidate_for_day,main_invalidation,close_1m,1,1,False,27103.65999999998,0.8023098004213003,1.9052463146032412,-7775.340000000004,-7775.340000000004,1.1772960830706414,581,0.5283993115318416,46.650017211703926,-749.22,0,False,744,0.6642857142857143,0,0.0,14973.079999999993,17843.639999999996,305.9799999999932,204,0.408081693693386,869.7799999999552,0.0399193741465913,2.180715061516576,0.9842496752506096,3.0,3.0,
invalidate_on_opposite_close_1m__buffer_2,invalidate_for_day,main_invalidation,close_1m,2,1,False,27103.65999999998,0.8023098004213003,1.9052463146032412,-7775.340000000004,-7775.340000000004,1.1772960830706414,581,0.5283993115318416,46.650017211703926,-749.22,0,False,743,0.6633928571428571,0,0.0,14973.079999999993,17843.639999999996,305.9799999999932,204,0.408081693693386,869.7799999999552,0.0399193741465913,2.180715061516576,0.9842496752506096,3.0,3.0,
invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,main_invalidation,close_1m,0,1,False,26839.859999999982,0.794588936310838,1.8867025467950436,-7775.340000000004,-7775.340000000004,1.175570459788987,580,0.5275862068965518,46.27562068965515,-749.22,0,False,745,0.6651785714285714,0,0.0,14973.079999999993,17843.639999999996,569.7799999999934,205,0.408081693693386,869.7799999999552,0.038193750864937,2.180715061516576,0.9761836864838165,4.0,4.0,
invalidate_on_opposite_touch__buffer_0,invalidate_for_day,main_invalidation,touch,0,1,False,24766.059999999983,0.7472217949242879,1.7456563733525698,-7263.720000000005,-7263.720000000005,1.166826738935176,562,0.5266903914590747,44.0677224199288,-749.22,0,False,768,0.6857142857142857,0,0.0,14973.079999999993,14166.719999999996,2643.579999999997,223,0.1271168336002626,1381.3999999999542,0.0294500300111257,1.774026534227232,0.9293918009265038,8.0,5.0,
invalidate_on_opposite_touch__buffer_1,invalidate_for_day,main_invalidation,touch,1,1,False,24123.099999999984,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,1.1617949527266662,563,0.5257548845470693,42.84742451154526,-749.22,0,False,768,0.6857142857142857,0,0.0,14973.079999999993,14166.719999999996,3286.539999999997,222,0.1271168336002626,1381.3999999999542,0.0244182438026161,1.774026534227232,0.9083374673398709,9.0,6.0,
invalidate_on_opposite_touch__buffer_2,invalidate_for_day,main_invalidation,touch,2,1,False,24123.099999999984,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,1.1617949527266662,563,0.5257548845470693,42.84742451154526,-749.22,0,False,768,0.6857142857142857,0,0.0,14973.079999999993,14166.719999999996,3286.539999999997,222,0.1271168336002626,1381.3999999999542,0.0244182438026161,1.774026534227232,0.9083374673398709,9.0,6.0,
invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,main_invalidation,close_5m,0,1,False,26644.95999999999,0.7721081687988872,1.836868594849344,-8047.580000000003,-8047.580000000003,1.166669877675573,606,0.5247524752475248,43.96858085808579,-749.22,0,False,716,0.6392857142857142,0,0.0,14973.079999999993,18237.539999999997,764.6799999999967,179,0.3990275819705318,597.5399999999563,0.0292931687515229,2.1821037751219263,0.8474748025491831,5.0,7.0,
invalidate_on_opposite_close_5m__buffer_2,invalidate_for_day,main_invalidation,close_5m,2,1,False,26535.859999999982,0.7679693395672496,1.8308333661054053,-8047.580000000002,-8047.580000000002,1.165258470568878,609,0.5254515599343186,43.57284072249587,-749.22,0,False,711,0.6348214285714285,0,0.0,14973.079999999993,18569.819999999992,873.7799999999934,176,0.4268957290182924,597.5399999999572,0.0278817616448279,2.218589951046116,0.8430536918962065,6.0,8.0,
