symbol,signal_timeframe,fold_id,train_start,train_end,test_start,test_end,train_days,test_days
MES,15min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MES,15min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MES,15min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MES,15min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MES,15min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MNQ,1H,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MNQ,1H,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MNQ,1H,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MNQ,1H,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MNQ,1H,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MNQ,30min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MNQ,30min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MNQ,30min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MNQ,30min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MNQ,30min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MES,30min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MES,30min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MES,30min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MES,30min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MES,30min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MES,1H,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MES,1H,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MES,1H,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MES,1H,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MES,1H,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MNQ,15min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MNQ,15min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MNQ,15min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MNQ,15min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MNQ,15min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
M2K,1H,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
M2K,1H,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
M2K,1H,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
M2K,1H,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
M2K,1H,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
M2K,30min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
M2K,30min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
M2K,30min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
M2K,30min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
M2K,30min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MGC,15min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MGC,15min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MGC,15min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MGC,15min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MGC,15min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-20,2192,79
M2K,15min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
M2K,15min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
M2K,15min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
M2K,15min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
M2K,15min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-19,2192,78
MGC,1H,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MGC,1H,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MGC,1H,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MGC,1H,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MGC,1H,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-20,2192,79
MGC,30min,fold_1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,731,365
MGC,30min,fold_2,2020-01-01,2022-12-31,2023-01-01,2023-12-31,1096,365
MGC,30min,fold_3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1461,366
MGC,30min,fold_4,2020-01-01,2024-12-31,2025-01-01,2025-12-31,1827,365
MGC,30min,fold_5,2020-01-01,2025-12-31,2026-01-01,2026-03-20,2192,79
